id,name
2975,Laurence Fishburne
6384,Keanu Reeves
530,Carrie-Anne Moss
1667883,Milo Gibson
1232548,Abigail Hawk
1107983,Martin Luther King Jr.
52057,Obba Babatundé
110380,Colin Powell
3084,Marlon Brando
3087,Robert Duvall
8349,Martin Sheen
1776,Francis Ford Coppola
37872,Eleanor Coppola
8328,John Milius
5141,Heather Langenkamp
5139,Robert Englund
5140,Wes Craven
64,Gary Oldman
529,Guy Pearce
532,Joe Pantoliano
37625,Andrew Garfield
65731,Sam Worthington
4937,Vince Vaughn
180659,Rosa Parks
1280183,Coretta Scott King
181934,Al Sharpton
1165240,Jason Alan Carvell
2787630,Valentin Zorin
89289,Jesse Jackson
2102583,Andrew Cohen
73988,Lyndon B. Johnson
2803017,Arthur John Birch
2954,Jeffrey Wright
33663,Donald Trump
937663,Neil Amdur
1931175,Bob Beamon
1700943,Jelani Cobb
938972,Angela Davis
1236595,Henry Louis Gates Jr.
1209864,Yoruba Richen
2685726,Delbert Hunt
2764421,Marquette Folley
8654,Matthew Modine
104053,Michele Greene
2535,Vivica A. Fox
225620,Rudolph Moise
109686,Flex Alexander
1038,Jodie Foster
4173,Anthony Hopkins
349,Scott Glenn
4587,Halle Berry
9780,Angela Bassett
19011,George W. Bush
146687,Tony Blair
1122373,Marion Barry Jr.
1122374,Chuck Brown
1122375,Lewis Franklin
9857,Karl Malden
5248,Lee J. Cobb
1158,Al Pacino
18269,Brendan Fraser
82702,Michael Jackson
65605,Muhammad Ali
47775,Marc Anthony
4483,Dustin Hoffman
13570,Samuel Goldwyn
3417,Tony Goldwyn
3092,Diane Keaton
12132,Michael Rooker
2130,Cary Elwes
106179,Anthony Franciosa
10190,Jill St. John
5250,Jack Klugman
3037,Richard Dreyfuss
4951,Robert Dalva
8487,Gregory Peck
8490,John Megna
6838,Frank Overton
3203,Russell Means
7862,Floyd Red Crow Westerman
11367,Bradley Whitford
31028,Richard Schiff
3266,Joe Mantegna
36059,Joanna Pacula
26466,Caroline Kava
5606,Sissy Spacek
1179102,Kathleen Kennedy
21010,Alexandra Hay
101032,Rod McCary
3248327,Philip Berrigan
1151688,Daniel Berrigan
3264883,Elizabeth McAlister
928944,Coleman Barks
2022250,Robert Bly
9979,Peter Coyote
514,Jack Nicholson
6193,Leonardo DiCaprio
1892,Matt Damon
7796,Illeana Douglas
851784,Mackenzie Foy
2641,Martin Landau
92029,Gabriel Bologna
218506,Gretchen Becker
2098136,Brian Becker
2098137,Richard Becker
1,George Lucas
7879,John Lasseter
2559324,Beth Lane
27888,Raúl Juliá
2303,Wim Wenders
5293,Willem Dafoe
1032,Martin Scorsese
1150,Brian De Palma
134,Jamie Foxx
1006721,Charles Scorsese
14782,Andrew Robinson
190,Clint Eastwood
147,Michael Madsen
2378014,Scott Allie
2046262,Julie Belle
1381997,Kurt Busiek
11784,Tom Atkins
78021,Lloyd Kaufman
16847,Eli Roth
2714,Lance Henriksen
67599,Vanessa Hudgens
1443708,Kimiko Glenn
102429,Roger Corman
102334,Bruce D. Clark
44762,Forrest J. Ackerman
100360,John Zacherle
62596,Kane Hodder
64722,John Carl Buechler
11357,Bruce Campbell
16178,Rick Baker
20903,Josh Keaton
22082,Lacey Chabert
19506,James Arnold Taylor
11770,John Carpenter
515,Glenn Close
43774,Daniel Roebuck
99596,Bob Burns
61956,Chuck Williams
113,Christopher Lee
4955,Dario Argento
3027,Stephen King
131120,Henry Strozier
1415341,Kazuhiro Tsuji
1267653,Chet Zar
1003,Jean Reno
524,Natalie Portman
3894,Christian Bale
1810,Heath Ledger
3895,Michael Caine
10980,Daniel Radcliffe
10989,Rupert Grint
10990,Emma Watson
219479,Criss Angel
1101349,Steve Aoki
46300,Alexander Nathan Etel
27889,Stephan Elliott
1331,Hugo Weaving
7187,Richard Donner
57371,Jeff Cohen
3034,Corey Feldman
78729,Nathan Lane
438859,Susan Brown
1253199,Alexandra Shipp
110505,Robin de Jesús
1136406,Tom Holland
505710,Zendaya
71580,Benedict Cumberbatch
2710,James Cameron
8691,Zoe Saldana
1357,Christopher Doyle
531,Danny Elfman
4492,Philip Baker Hall
1408141,Fred Korematsu
54422,Tupac Shakur
3340804,Dr Nathalie Douge
1804623,Alexis Ellis
2391,Michael Dorn
3635,Elizabeth Taylor
1386798,Joseph McCarthy
100709,Junior Wells
21111,John F. Kennedy
13348,Howard Hughes
2802990,Jean Paul Getty
2803001,Haroldson Lafayette Hunt
117418,Mahalia Jackson
1188876,Horace Clarence Boyer
61399,Mike Ditka
1232728,Jim McMahon
1723195,Mike Singletary
1050881,Jacqueline Kennedy
1152,Oliver Stone
3331792,Vasili Arkhipov
57738,Samuel Labarthe
1141815,Charles de Gaulle
1074129,Fred Rogers
2066306,François Scarborough Clemmons
173729,Yo-Yo Ma
25072,Oscar Isaac
3910,Frances McDormand
1241,John Turturro
72129,Jennifer Lawrence
10943,Francis Lawrence
1072882,Mindy Robinson
1987684,Dywayne Thomas
1145892,Ed Koch
1167702,Bruno Sammartino
1167703,Bob Backlund
557911,Robert Kennedy Jr
16214,Mario Van Peebles
227811,Herschel Walker
1222706,Skip Bayless
1748,William Shatner
2323039,Catherine Mercado-Muñiz
2339577,Carmen Yulín Cruz
10127,Jon Voight
1229169,Roger Ailes
1116399,Winston Churchill
102786,Barack Obama
18802,Ronald Reagan
112219,Michael Hickenbottom
56446,John Cena
1200537,Edward Fatu
1816204,Frederick Oberlander
1816207,Tevfik Arif
151043,Randy Orton
77120,Steve Austin
2569912,Liane Rudolph
2601848,Pyotr Tolstoy
1173567,Vladimir Pozner jr.
21216,Kim Delaney
58792,Jack Scalia
16620,Hulk Hogan
2214123,Véronique Préault
2412677,Xavier Pasco
2412679,John Logsdon
28151,Benoît Allemane
5469,Ralph Fiennes
2398868,Taghi Amirani
3203938,Farhad Diba
567335,Chris Benoit
115788,Paul Michael Lévesque
937664,Abraham Beame
937665,Bob Bright
2791669,Erika Andiola
2791670,Bob Bland
1262488,Emicida
10055,Fernanda Montenegro
81724,Zeca Pagodinho
16431,Sam Elliott
2203,Neal McDonough
2059,Adam Baldwin
7132,Vincent D'Onofrio
1357571,Mike Chunn
1357572,Nick D'Angelo
21278,Alan Alda
13724,Jane Alexander
64825,Harry Hamlin
175981,Linda Doucett
21246,Corbin Bernsen
94814,Susan Dey
21563,Corin Nemec
1234,Tara Reid
2654014,Mariah Robinson
2673964,Arie Thompson
78740,Jackée Harry
3154315,Alexis Samone
139,Uma Thurman
140,Lucy Liu
58924,Clifton Powell
21355,DMX
1922617,Joy Rovaris
587035,Nadji Jeter
154382,Jazsmin Lewis
31134,Darrin Henson
74613,Terri J. Vaughn
1220781,Shelly Altman
115002,John Aniston
7447,Alec Baldwin
88620,Lauren Collins
19961,Nina Dobrev
180986,Cassie Steele
1395884,Gessica Généus
105762,Jimmy Jean-Louis
1142232,Soledad Elizabeth Jean
380,Robert De Niro
13,Albert Brooks
5049,John Hurt
10774,Anne Bancroft
39187,Olivia Colman
34546,Mark Gatiss
146510,Chris Brochu
9560,Ellen Burstyn
12021,Mia Farrow
18248,Mary-Louise Parker
59219,Kyle Gallner
1137,Juliette Binoche
33181,Jimmy Smits
63611,Nickolas Grace
53574,Eric Thal
1160,Michelle Pfeiffer
1813,Anne Hathaway
37153,Zoë Kravitz
70243,Eartha Kitt
15973,Julie Newmar
8891,John Travolta
44038,Nancy Allen
44796,Franklyn Ajaye
77896,Bill Bellamy
1459,Tina Turner
35705,Regina Hall
143242,Terrence Jenkins
56323,Tina Fey
78577,Graham Norton
3223,Robert Downey Jr.
16828,Chris Evans
103,Mark Ruffalo
1189929,Condoleezza Rice
7904,Billy Crystal
2801284,Anthony Amsterdam
1066763,Darrell Royal
8261,Willie Nelson
50707,Ed Marinaro
1670479,Abbas Abdi
1625013,Mahmoud Ahmadinejad
84384,Osama bin Laden
1322032,John Ashcroft
1322033,Bob Brenly
2203808,Sérgio Vieira de Mello
1220273,David Cameron
1442410,Trevor Phillips
1442411,Nigel Farage
1306064,Princess Diana of Wales
174981,Prince Charles
37759,Kathy Burke
20056,Keith Allen
2330903,Amir Amor
32377,Enrico Maria Salerno
9762,Jean Sorel
1936,Martin Balsam
5247,John Fiedler
30233,Rosalind Russell
19550,Melvyn Douglas
80237,Binnie Barnes
1159,Steven Bauer
21200,Will Arnett
15762,Tara Strong
89042,Susanne Blakeslee
31162,Daran Norris
1227278,Siedah Garrett
2636676,David Williams
134710,Pat Dade
134711,Amy Smallman
2687948,Isaiah Sanders
108881,Brad Buxer
926,Ola Ray
1905,Vincent Price
4610,John Landis
10750,Sheryl Crow
1234966,Greg Phillinganes
2426206,Danny Wu
2284427,Charles Thomson
5657,Anjelica Huston
11510,Macaulay Culkin
18793,Kieran Culkin
110001,Phil Collins
138986,Tony Bennett
85564,Andrea Bocelli
3149,Marilyn Monroe
122750,Leslie Uggams
109897,Ethel Merman
6352,Jane Fonda
13301,Quincy Jones
1201284,Jacques Peretti
140567,Donny Osmond
20156,Sammy Davis Jr.
4347,Frank Sinatra
4299,Dean Martin
37934,André 3000
15310,Anthony Kiedis
45042,Adam Ant
553721,Nick Ashford
1789239,Renaldo Benson
27011,Vanessa Williams
8851,Whitney Houston
543105,Ella Fitzgerald
990578,Rocky Marciano
1056814,Chris Dundee
107375,Joe Frazier
2712640,Mark Holden
65606,George Foreman
87919,Mark Calaway
87496,Daddy Yankee
2550161,Bad Bunny
124744,Celia Cruz
1749029,Pedro Knight
94759,Gloria Estefan
5723,John Leguizamo
63522,Sofía Vergara
11695,Lucas Foster
893,Tony Scott
73931,Bette Midler
142439,Emmett Kelly
863,Orson Bean
9789,Robert Altman
6449,Warren Beatty
707,Dan Aykroyd
11850,Candice Bergen
9274,James Brolin
19803,Leonardo Sbaraglia
1084298,Alfredo Casero
35,Sally Field
21399,Ron Silver
2888,Will Smith
2214765,Demi Singleton
1607523,Saniyya Sidney
67773,Steve Martin
519,Martin Short
32749,Alex Diakun
6804,Graham Greene
69302,Litefoot
65529,Irene Bedard
113674,Victoria Alonso
1121,Benicio del Toro
543530,Dave Bautista
4027,Frank Darabont
1223867,Robert Kirkman
46348,Denise M. Huth
225863,Zach Callison
16896,James Garner
3026,Rob Reiner
2127,James Wan
2128,Leigh Whannell
4959,Claudia Cardinale
78934,Betsy Blair
80253,Anjanette Comer
326,Kim Basinger
1747292,Robert Board
142858,Melissa Gilbert
117164,Joe Penny
39015,Eileen Brennan
50967,Doug McClure
940155,Alfred Drake
86104,Patricia Morison
231773,Julie Wilson
18972,Danny Masterson
155890,Julie Garfield
2210813,Ellen Adler
2879828,Joseph Bernard
70899,Amara Zaragoza
42626,Trent Ford
5375,Geoffrey Arend
52646,Vincent Kartheiser
287,Brad Pitt
192,Morgan Freeman
12052,Gwyneth Paltrow
26009,Gail O'Grady
1067583,Suzanne Happ
33,Gary Sinise
5149,Bonnie Hunt
10427,Anne Archer
2144,Tobin Bell
141,David Carradine
2505,James Cromwell
54693,Emma Stone
19492,Viola Davis
6944,Octavia Spencer
76184,Bryan Marshall
39770,Adam Roarke
34721,Larry Bishop
83908,Daniel Massey
8499,William Windom
8857,Debbie Reynolds
15395,Maurice Ronet
56890,Malcolm McDowell
46393,Roseanne Barr
82128,Wesley Clark
1353815,Dr. Diane Ravitch
20212,Dermot Mulroney
21818,Lesley Ann Warren
12967,Swoosie Kurtz
13567,Ann-Margret
25834,Leslie Hope
118764,Paulo Pires
1189209,Woody Guthrie
2993220,Rick Sharp
3199207,Jerry Dealey
1204293,J. Allen Hynek
27116,Kevin Conway
20959,Louis Gossett Jr.
57829,Anthony LaPaglia
1066777,Mumia Abu-Jamal
65013,Rubin 'Hurricane' Carter
4808,Giancarlo Esposito
67315,Tenzin Gyatso
2734157,Xiaoming Zhu
2045089,Jeanmarie Simpson
4687,Patricia Arquette
7071,Louise Fletcher
518,Danny DeVito
10409,Shelley Duvall
7077,Scatman Crothers
34947,Kevin Conroy
1262612,Neal Adams
1487,Bob Dylan
7487,David Bowie
1428,Mick Jagger
2282,Ben Kingsley
24045,Joseph Gordon-Levitt
3899,Ken Watanabe
21007,Jonah Hill
234352,Margot Robbie
15831,Frank Welker
27319,Christoph Waltz
9261,Frank Abagnale Jr.
449538,Adele
13309,Oprah Winfrey
1678375,Robert Simon
3202303,Basil Hendry
3202306,Dianne Dwyer Modestini
2157,Robin Williams
880,Ben Affleck
19498,Jon Bernthal
31,Tom Hanks
3197,Tom Sizemore
12833,Edward Burns
10297,Matthew McConaughey
83002,Jessica Chastain
11665,Michael Angarano
2171,Griffin Dunne
15864,Clarence Williams III
176557,Mark Kassen
19453,Tom Bower
1141310,Joe Dietl
81316,Reid Scott
10767,Barbara Hershey
1366083,Grace Kaufman
11477,Ray Liotta
4517,Joe Pesci
204,Kate Winslet
20508,Iain Glen
1205143,John Gazarian
1205144,Darlene Landau
2222,Beau Bridges
160663,Ted Shackelford
9805,Sally Kellerman
24589,Paul Mercurio
24590,Dominique Sanda
57905,Lindsay Wagner
18589,Lee Majors
105270,Tom Schanley
2638,Cary Grant
2639,Eva Marie Saint
2091,James Mason
71538,Dave Filoni
1021364,Joseph Campbell
2231,Samuel L. Jackson
12898,Tim Allen
2297235,Antony Horder
491,John Williams
3,Harrison Ford
738,Sean Connery
132305,Nobuhiko Obayashi
5026,Akira Kurosawa
4,Carrie Fisher
3799,Billy Dee Williams
130,Kenny Baker
10930,Irvin Kershner
2140901,Gary Kurtz
33185,Jeremy Bulloch
7090,Kelsey Grammer
94037,Bruno Bozzetto
35219,Corey Burton
2106,Walt Disney
146136,Bernice Hansen
628,Isao Takahata
608,Hayao Miyazaki
1186197,Steve Alpert
110675,Jerry Beck
7167,Don Rickles
227,William Hurt
1296936,Sebastião Salgado
1310844,Juliano Ribeiro Salgado
1414419,Lotte Eisner
6818,Werner Herzog
10249,Volker Schlöndorff
1061561,Mark Cousins
1018937,Jean-Michel Frodon
86034,Julianne Nicholson
32887,Christopher Heyerdahl
1291350,Tony Revolori
3490,Adrien Brody
39104,Abel Ferrara
1480608,Stuart Alson
18514,Asia Argento
32592,Ron Vawter
1434355,Kate Valk
189747,Anna Köhler
285917,Ari Fliakos
1731598,Beatrice Roth
118415,Sean Baker
20715,Alexis Zabe
73968,Henry Cavill
90633,Gal Gadot
1130441,Robert Sklar
108650,Alain Silver
1130439,Drew Casper
1665042,Thierry Frémaux
1867,Auguste Lumière
72861,Robbie Robertson
941022,Buffy Sainte-Marie
237532,John Trudell
1052109,Harry Styles
1052107,Niall Horan
1146050,Zayn Malik
83198,Allan Arkush
101377,Paul Bartel
14701,Carroll Baker
14702,Cathy Moriarty
11008,Rebecca Romijn
1259,Ennio Morricone
19665,John Boorman
135651,Michael B. Jordan
60073,Brie Larson
325,Eminem
979952,Clive Davis
9309,Richard Pryor
57551,Mario Cantone
5726,Cedric the Entertainer
104779,Nas
224859,Ralph McDaniels
540281,Wendy Williams
3265,Eli Wallach
4078,Lee Van Cleef
14276,Gian Maria Volonté
74308,Christopher Carley
74309,Bee Vang
448,Hilary Swank
3892,Johnny Mercer
3095559,Bill Charlap
4385,Sergio Leone
34259,Jean-Yves Berteloot
5064,Meryl Streep
19429,Bruce Lee
18897,Jackie Chan
15111,Jean-Claude Van Damme
4430,Sharon Stone
1932312,Maureen McCarthy
1037,Harvey Keitel
3129,Tim Roth
23920,Chad McQueen
6844,Dom DeLuise
68559,Gary Daniels
188707,Christopher Stapleton
59554,Jesse Bernstein
1591097,Bryan Clark
17397,Callie Khouri
17398,Mimi Polk Gitlin
1572034,Robert Scott Wilson
2555,David Proval
7218,Kristanna Loken
1954,Billy Zane
1226789,Crystal Bernard
65344,Esai Morales
2047,Danny Glover
73040,Doug Bradley
27993,Jeffrey Combs
1198123,Rachel Grubb
106207,Ari Lehman
52860,Judah Friedlander
1515269,John P. Brennan
2029964,Paymon Seyedi
42545,Ron Jeremy
15832,Gilbert Gottfried
1404664,Cody Baggenstos
1404667,Justin Shand
70602,Jörg Buttgereit
1036843,James Balsamo
1288492,Glenn Berggoetz
93190,Zack Beseda
106166,Count Smokula
1229317,Bruno Tonioli
1133295,Jeremy Ambler
1536126,Teresa Ambler
1536127,Katt Balsan
1376433,Susie Duecker
1376434,Patricia Quinn
1102159,Shawn C. Phillips
19487,Jay Hernandez
19119,Mélanie Laurent
52365,Cerina Vincent
21429,Sam Page
20493,Sydney Tamiia Poitier
33656,Heather Matarazzo
39520,Garret Dillahunt
11462,Ellen Sandweiss
11465,Theresa Tilly
52602,Rob Morrow
2517,Donna Murphy
59183,Sarah-Jane Redmond
111207,Barra Grant
14392,Kathryn Bigelow
2053,Bill Paxton
3085,James Caan
60848,James Aaron Oliver
1229762,Jonathan Mangum
31365,John Kassir
23967,Mary Ellen Trainor
78494,Beau Billingslea
571562,Steve Blum
75039,Crispin Freeman
587506,Shameik Moore
543505,Jake Johnson
130640,Hailee Steinfeld
19707,Charles Band
31302,Ted Newsom
100659,Ivan Cardoso
31211,Clive Barker
12515,José Ferrer
13578,Dana Andrews
9925,Martine Beswick
650,Karen Allen
104021,Ricou Browning
109255,Leonard Maltin
7505,Roddy McDowall
26660,Richard Kiley
3035391,Bob Kokai
3035392,Ronald V. Borst
79084,Jeff Rector
16028,William Marshall
41955,Griffin Drew
98226,Rodney Gray
35579,Debbie Rochon
100359,Nathan Sears
16938,Renny Harlin
97915,Marilyn Eastman
27804,Gunnar Hansen
97914,Karl Hardman
27747,Chuck Connors
80579,Robert Z'Dar
55841,Ron O'Neal
7073,Michael Berryman
99906,John Bloom
1351030,Jeff Kim
2545,Lawrence Bender
8212,Peter Gallagher
222130,Eloise Mumford
1924482,Nick Wolfhard
1658964,Charles Demers
164807,Paul Davis
14464,Jenny Agutter
11173,Nick Dudman
1319490,Kevin Haney
34982,Jeff Bennett
963818,Troy Baker
86314,Mindy Cohn
43458,Brennan Elliott
104646,Barbara Niven
63681,Julie Warner
210344,Jen Lilley
1547914,Elan Garfias
60279,Fred Tatasciore
1082094,Dave B. Mitchell
12077,Jim Cummings
12900,Wallace Shawn
19507,Mikey Kelley
16418,Casey Kasem
15761,Grey DeLisle
1178795,Ben Diskin
27811,Peter Weller
42160,Ariel Winter
56930,David Selby
11813,David Foster
15406,Bill Lancaster
14999,George A. Romero
2932562,Tyler Lyle
2838131,Tim McEwan
511,Larry J. Franco
4600,Joe Dante
1432094,Cody Carpenter
2772005,Jeff Gelb
44810,Cassandra Peterson
4785,Jeff Goldblum
6929,Tippi Hedren
229715,Jean-Michel Jarre
1250815,Little Boots
6856,Kurt Russell
65827,Keith David
11065,Wilford Brimley
32396,Richard Belzer
36190,Edie Falco
44712,Jill Eikenberry
2056726,Kevin Dobson
66776,Liza Minnelli
40389,Bernadette Peters
5699,Patti LuPone
2628845,James Black
38026,Chris Noth
51641,Loryn Locklin
45445,Megan Gallagher
923,Dean Stockwell
156485,Leah Lail
1213549,Chris Hunter
17005,Doug Jones
109870,Tom Woodruff Jr.
235722,Haruo Nakajima
1660251,Ethan Levy
510,Tim Burton
1116483,Deirdre Flynn
12688,Peter MacNicol
69344,Dana Hill
131814,Michael Brandon
19794,Eddie Constantine
72717,Dawn Addams
38037,Marius Goring
222054,Selma Brook
1483204,Ryan Mercier
1483206,Tina Gray
936,Oliver Reed
5,Peter Cushing
1241229,Bob Wilkins
2922,Boris Karloff
2532964,Morris Bright
2532965,Philip Campbell
109,Elijah Wood
1327,Ian McKellen
882,Liv Tyler
3070363,Christina Hazard
3070364,Karl Kite-Rangi
1313,Andrew Lesnie
88164,Luigi Cozzi
2183911,Annette Chaton
100507,Christine Forrest
105685,Giovanna Mezzogiorno
32055,Piero Tosi
107094,Dave Barry
38832,Thomas Gottschalk
12074,John Lithgow
11155,Thomas Jane
1330888,Andy Bean
2501669,Marsha DeFilippo
